"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-13",,"43","28","28"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-14",,"45","24","24"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-15",,"48","24","31"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-16",,"47","29","42"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-17",,"44","39","39"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-19",,"53","41","41"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-20",,"46","29","29"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-21",,"57","29","56"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-22",,"56","35","36"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-23",,"39","34","34"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-24",,"40","24","25"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-25",,"38","25","35"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-26",,"40","24","27"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-27",,"39","27","36"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-28",,"37","29","30"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-29",,"36","24","29"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-30",,"32","29","30"
"USC00280907","BOONTON 1 SE, NJ US","2012-12-31",,"33","25","29"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-01",,"38","29","38"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-02",,"39","22","23"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-03",,"32","21","21"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-04",,"34","21","33"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-05",,"37","30","32"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-06",,"41","30","35"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-07",,"45","31","31"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-08",,"43","23","24"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-09",,"46","23","26"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-10",,"45","26","39"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-11",,"46","30","33"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-12",,"43","32","42"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-13",,"48","41","43"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-14",,"48","41","48"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-15",,"56","35","36"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-16",,"39","31","32"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-17",,"38","31","37"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-18",,"43","28","28"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-19",,"30","24","29"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-20",,"48","29","34"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-21",,"50","24","26"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-22",,"30","19","20"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-23",,"22","11","11"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-24",,"20","7","9"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-25",,"23","7","14"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-26",,"24","11","15"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-27",,"26","13","18"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-28",,"33","15","26"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-29",,"39","25","37"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-30",,"53","37","38"
"USC00280907","BOONTON 1 SE, NJ US","2013-01-31",,"62","36","49"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-01",,"49","26","27"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-02",,"31","18","19"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-03",,"28","19","22"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-04",,"30","20","22"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-05",,"30","22","25"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-06",,"30","24","27"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-07",,"38","20","21"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-08",,"32","21","32"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-09",,"33","28","28"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-10",,"32","13","15"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-12",,"43","31","39"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-13",,"43","25","26"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-14",,"45","24","31"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-15",,"44","29","29"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-16",,"52","28","35"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-17",,"39","26","26"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-18",,"31","15","18"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-19",,"34","17","22"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-20",,"42","22","29"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-21",,"32","24","25"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-22",,"34","22","25"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-23",,"38","25","34"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-24",,"40","34","36"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-25",,"47","31","32"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-26",,"43","27","28"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-27",,"43","28","39"
"USC00280907","BOONTON 1 SE, NJ US","2013-02-28",,"47","36","37"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-01",,"50","34","36"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-02",,"45","32","35"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-03",,"40","28","28"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-04",,"38","26","29"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-05",,"40","28","31"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-06",,"49","30","38"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-07",,"44","35","35"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-08",,"41","31","31"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-09",,"43","31","32"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-10",,"58","29","29"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-11",,"53","27","37"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-12",,"56","37","47"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-13",,"57","34","35"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-14",,"57","28","29"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-15",,,,
"USC00280907","BOONTON 1 SE, NJ US","2013-03-16",,"45","29","34"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-17",,"38","28","28"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-18",,"38","23","25"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-19",,"36","25","34"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-20",,"43","31","33"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-21",,"43","30","30"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-22",,"39","28","29"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-23",,,,
"USC00280907","BOONTON 1 SE, NJ US","2013-03-24",,,,
"USC00280907","BOONTON 1 SE, NJ US","2013-03-25",,"48","29","47"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-26",,"47","28","37"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-27",,"50","35","35"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-28",,"52","35","38"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-29",,"51","35","38"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-30",,"56","32","39"
"USC00280907","BOONTON 1 SE, NJ US","2013-03-31",,"59","30","30"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-01",,"57","30","41"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-02",,"61","30","32"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-03",,"44","31","32"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-04",,"56","32","39"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-05",,"54","27","40"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-07",,"62","33","38"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-08",,"64","27","45"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-09",,"77","44","51"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-10",,"81","50","52"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-11",,"79","52","56"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-12",,"63","43","43"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-13",,"44","37","43"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-14",,"60","43","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-15",,"57","40","40"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-16",,"60","40","47"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-17",,"67","47","55"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-18",,"71","43","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-19",,"58","43","58"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-20",,"78","50","50"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-21",,"59","34","36"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-22",,"55","34","37"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-23",,"56","37","39"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-24",,"51","37","39"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-25",,"72","38","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-26",,"65","43","49"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-27",,"65","40","53"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-28",,"71","40","41"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-29",,"73","41","51"
"USC00280907","BOONTON 1 SE, NJ US","2013-04-30",,"65","51","52"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-01",,"69","37","38"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-02",,"70","38","41"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-03",,"77","41","51"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-04",,"67","41","42"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-05",,"72","39","43"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-06",,"66","40","47"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-07",,"71","45","57"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-08",,"75","57","59"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-09",,"68","52","55"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-10",,"69","51","53"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-11",,"80","53","64"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-12",,"71","57","57"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-13",,"68","43","45"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-14",,"56","40","43"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-15",,"63","40","54"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-16",,"73","54","57"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-17",,"80","56","60"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-18",,"73","49","52"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-19",,"66","51","56"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-20",,"59","55","59"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-21",,"79","58","64"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-22",,"87","61","61"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-23",,"84","61","71"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-24",,"79","62","63"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-25",,"66","45","48"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-26",,"57","47","49"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-27",,"67","44","48"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-28",,"75","41","61"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-29",,"65","56","59"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-30",,"82","59","67"
"USC00280907","BOONTON 1 SE, NJ US","2013-05-31",,"91","66","75"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-01",,"92","64","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-02",,"89","66","72"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-03",,"86","69","70"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-04",,"82","56","57"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-06",,"76","51","59"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-07",,"72","58","60"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-08",,"63","57","61"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-09",,"73","58","61"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-10",,"82","61","65"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-11",,"69","62","64"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-12",,"79","64","65"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-13",,"77","58","60"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-14",,"63","53","57"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-15",,"75","57","61"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-16",,"81","56","60"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-17",,"82","59","64"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-18",,"85","61","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-19",,"85","57","59"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-20",,"78","53","54"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-21",,"82","54","68"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-22",,"84","57","73"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-23",,"84","57","67"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-24",,"88","67","73"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-25",,"93","67","69"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-26",,"91","69","73"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-27",,"85","69","69"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-28",,"87","69","72"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-29",,"87","67","74"
"USC00280907","BOONTON 1 SE, NJ US","2013-06-30",,"86","65","68"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-01",,"84","68","73"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-02",,"74","71","74"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-03",,"84","71","72"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-04",,"85","72","79"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-05",,"87","70","72"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-06",,"92","72","75"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-07",,"91","72","77"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-08",,"92","70","71"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-09",,"90","68","69"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-10",,"88","69","73"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-11",,"86","73","77"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-12",,"84","68","70"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-13",,"79","66","67"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-14",,"80","67","74"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-15",,"92","74","78"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-16",,"93","71","73"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-17",,"93","71","72"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-18",,"94","72","75"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-19",,"96","74","77"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-20",,"96","77","80"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-21",,"94","73","73"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-22",,"88","69","71"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-23",,"83","71","72"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-24",,"86","70","71"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-25",,"80","61","61"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-26",,"67","61","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-27",,"84","59","61"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-28",,"84","59","68"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-29",,"79","66","67"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-30",,"84","60","61"
"USC00280907","BOONTON 1 SE, NJ US","2013-07-31",,"81","59","60"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-01",,"81","59","65"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-02",,"71","63","65"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-03",,"84","65","67"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-04",,"78","60","61"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-05",,"79","56","59"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-06",,"78","54","55"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-07",,"82","55","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-08",,"79","66","70"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-09",,"86","70","73"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-10",,"86","67","69"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-11",,"82","57","60"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-12",,"81","60","68"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-13",,"83","65","68"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-14",,"79","58","60"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-15",,"74","52","52"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-16",,"79","52","54"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-17",,"80","54","56"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-18",,"83","56","62"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-19",,"75","62","63"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-20",,"80","62","62"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-21",,"88","62","65"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-22",,"89","64","68"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-23",,"79","66","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-24",,"82","59","59"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-25",,"80","54","55"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-26",,"83","55","65"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-27",,"81","65","72"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-28",,"87","65","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-29",,"84","66","70"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-30",,"82","69","69"
"USC00280907","BOONTON 1 SE, NJ US","2013-08-31",,"85","69","73"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-01",,"85","72","74"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-02",,"84","70","73"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-03",,"80","65","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-04",,"81","58","60"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-05",,"81","58","59"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-06",,"76","50","50"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-07",,"71","47","47"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-08",,"79","47","62"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-09",,"80","48","48"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-10",,"73","48","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-11",,"84","66","72"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-12",,"93","72","73"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-13",,"85","65","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-14",,"77","53","53"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-15",,"66","45","47"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-16",,"72","46","59"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-17",,"73","44","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-18",,"66","41","42"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-19",,"72","41","43"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-20",,"77","43","50"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-21",,"80","49","52"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-22",,"78","52","61"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-23",,"68","48","48"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-24",,"65","42","43"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-25",,"73","41","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-26",,"73","45","53"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-27",,"71","49","49"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-28",,"70","49","51"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-29",,"74","47","48"
"USC00280907","BOONTON 1 SE, NJ US","2013-09-30",,"73","47","47"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-01",,"74","46","48"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-02",,"80","48","55"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-03",,"82","54","54"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-04",,"78","53","59"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-05",,"84","59","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-06",,"78","65","65"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-07",,"69","64","68"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-08",,"75","46","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-09",,"67","46","50"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-10",,"66","50","52"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-11",,"61","52","61"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-12",,"66","58","58"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-13",,"73","54","55"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-14",,"64","46","49"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-15",,"68","46","47"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-16",,"73","46","53"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-17",,"67","53","61"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-18",,"74","56","56"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-19",,"67","40","41"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-20",,"63","41","49"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-21",,"62","37","37"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-22",,"65","37","42"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-23",,"63","36","37"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-24",,"55","37","39"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-25",,"54","31","31"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-26",,"53","29","30"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-27",,"54","29","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-28",,"57","32","35"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-29",,"60","34","40"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-30",,"55","36","38"
"USC00280907","BOONTON 1 SE, NJ US","2013-10-31",,"57","38","47"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-01",,"67","47","66"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-02",,"69","46","48"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-03",,"67","44","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-04",,"48","29","30"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-05",,"45","30","31"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-06",,"53","31","39"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-07",,"60","34","40"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-08",,"60","35","39"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-09",,"50","29","38"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-10",,"49","34","34"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-11",,"60","34","40"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-12",,"52","35","35"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-13",,"37","27","27"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-14",,"39","27","31"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-15",,"51","28","29"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-16",,"57","28","43"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-17",,"60","42","48"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-18",,"62","48","53"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-19",,"62","41","42"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-20",,"46","31","31"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-21",,"44","23","25"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-22",,"50","23","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-23",,"57","37","37"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-24",,"46","22","22"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-25",,"28","21","21"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-26",,"35","21","32"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-27",,"55","32","54"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-28",,"56","29","29"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-29",,"34","26","27"
"USC00280907","BOONTON 1 SE, NJ US","2013-11-30",,"38","20","21"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-01",,"33","19","27"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-02",,"47","27","35"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-03",,"46","28","31"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-05",,"50","32","46"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-06",,"55","45","50"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-07",,"58","35","35"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-08",,"39","25","27"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-09",,"32","26","32"
"USC00280907","BOONTON 1 SE, NJ US","2013-12-10",,"32","29","32"
